16:20:31.928; 0; Start of recording
16:21:55.051; 126; LineStatus/Data; {'Line4': {'self': {'state': 'SL', 'product_at': 'SL'}, 'GR3': {'status': 'INIT'}, 'SL': {'status': 'INTO_BAY'}, 'VG2': {'status': 'MOVING'}}}
16:21:55.337; 127; LineStatus/Data; {'Line4': {'self': {'state': 'VG2', 'product_at': 'SL'}, 'GR3': {'status': 'INIT'}, 'SL': {'status': 'END'}, 'VG2': {'status': 'MOVING'}}}
16:21:56.766; 128; LineStatus/Data; {'Line1': {'self': {'state': 'GR2_CB1_TO_CB3', 'product_at': 'GR2'}, 'CB1': {'status': 'END'}, 'GR2': {'status': 'GRIPPING'}}}
16:21:56.787; 129; MachineStatus/Data; {'CB1': ['FREE', 'None']}
16:21:56.799; 130; LineStatus/Data; {'Line1': {'self': {'state': 'GR2_CB1_TO_CB3', 'product_at': 'GR2'}, 'GR2': {'status': 'MOVING'}}}
16:21:57.345; 131; LineStatus/Data; {'Line4': {'self': {'state': 'VG2', 'product_at': 'SL'}, 'GR3': {'status': 'INIT'}, 'SL': {'status': 'END'}, 'VG2': {'status': 'TO_DESTINATION'}}}
16:21:58.052; 132; LineStatus/Data; {'Line4': {'self': {'state': 'VG2', 'product_at': 'SL'}, 'GR3': {'status': 'INIT'}, 'SL': {'status': 'END'}, 'VG2': {'status': 'GET_PRODUCT'}}}
16:21:58.233; 133; LineStatus/Data; {'Line2': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'RELEASE'}}}
16:21:59.061; 134; MachineStatus/Data; {'MPS': ['RUNNING', 'Line2']}
16:21:59.077; 135; LineStatus/Data; {'Line2': {'self': {'state': 'MPS', 'product_at': 'GR1'}, 'GR1': {'status': 'INIT'}}}
16:21:59.088; 136; LineStatus/Data; {'Line2': {'self': {'state': 'MPS', 'product_at': 'GR1'}, 'GR1': {'status': 'INIT'}, 'MPS': {'status': 'INIT'}}}
16:21:59.102; 137; LineStatus/Data; {'Line2': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'GR1': {'status': 'INIT'}, 'MPS': {'status': 'START'}}}
16:21:59.461; 138; LineStatus/Data; {'Line4': {'self': {'state': 'VG2', 'product_at': 'VG2'}, 'GR3': {'status': 'INIT'}, 'SL': {'status': 'END'}, 'VG2': {'status': 'GET_PRODUCT'}}}
16:21:59.475; 139; MachineStatus/Data; {'SL': ['FREE', 'None']}
16:21:59.492; 140; LineStatus/Data; {'Line4': {'self': {'state': 'VG2', 'product_at': 'VG2'}, 'GR3': {'status': 'INIT'}, 'VG2': {'status': 'TO_MOVING_POS'}}}
16:22:00.231; 141; LineStatus/Data; {'Line4': {'self': {'state': 'VG2', 'product_at': 'VG2'}, 'GR3': {'status': 'INIT'}, 'VG2': {'status': 'MOVING'}}}
16:22:00.572; 142; MachineStatus/Data; {'GR3': ['FREE', 'None']}
16:22:00.572; 143; LineStatus/Data; {'Line4': {'self': {'state': 'VG2', 'product_at': 'VG2'}, 'VG2': {'status': 'MOVING'}}}
16:22:02.079; 144; LineStatus/Data; {'Line4': {'self': {'state': 'VG2', 'product_at': 'VG2'}, 'VG2': {'status': 'TO_DESTINATION'}}}
16:22:02.884; 145; LineStatus/Data; {'Line1': {'self': {'state': 'GR2_CB1_TO_CB3', 'product_at': 'GR2'}, 'GR2': {'status': 'TO_DESTINATION'}}}
16:22:03.611; 146; LineStatus/Data; {'Line4': {'self': {'state': 'END', 'product_at': 'VG2'}, 'VG2': {'status': 'INIT'}}}
16:22:04.716; 147; LineStatus/Data; {'Line1': {'self': {'state': 'GR2_CB1_TO_CB3', 'product_at': 'GR2'}, 'GR2': {'status': 'RELEASE'}}}
16:22:05.261; 148; MachineStatus/Data; {'CB3': ['RUNNING', 'Line1']}
16:22:05.272; 149; LineStatus/Data; {'Line1': {'self': {'state': 'CB3', 'product_at': 'GR2'}, 'GR2': {'status': 'INIT'}}}
16:22:05.286; 150; LineStatus/Data; {'Line1': {'self': {'state': 'CB3', 'product_at': 'CB3'}, 'GR2': {'status': 'INIT'}, 'CB3': {'status': None}}}
16:22:05.300; 151; LineStatus/Data; {'Line1': {'self': {'state': 'CB3', 'product_at': 'CB3'}, 'GR2': {'status': 'INIT'}, 'CB3': {'status': 'RUN'}}}
16:22:07.174; 152; LineStatus/Data; {'Line2': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'GR1': {'status': 'INIT'}, 'MPS': {'status': 'TO_TABLE'}}}
16:22:08.224; 153; MachineStatus/Data; {'GR1': ['RUNNING', 'Line3']}
16:22:08.237; 154; LineStatus/Data; {'Line2': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'MPS': {'status': 'TO_TABLE'}}}
16:22:08.240; 155; LineStatus/Data; {'Line3': {'self': {'state': 'GR1', 'product_at': None}, 'GR1': {'status': 'INIT'}}}
16:22:08.433; 156; LineStatus/Data; {'Line3': {'self': {'state': 'GR1', 'product_at': None}, 'GR1': {'status': 'TO_MOVING_POS'}}}
16:22:08.578; 157; MachineStatus/Data; {'CB4': ['BLOCKED', 'Line1']}
16:22:08.592; 158; MachineStatus/Data; {'CB4_TO_WH': ['BLOCKED', 'Line1']}
16:22:08.597; 159; MachineStatus/Data; {'CB4_TO_CB5': ['RUNNING', 'Line1']}
16:22:08.598; 160; LineStatus/Data; {'Line1': {'self': {'state': 'CB4_TO_CB5', 'product_at': 'CB3'}, 'GR2': {'status': 'INIT'}, 'CB3': {'status': 'RUN'}}}
16:22:08.603; 161; LineStatus/Data; {'Line1': {'self': {'state': 'CB4_TO_CB5', 'product_at': 'CB4'}, 'GR2': {'status': 'INIT'}, 'CB3': {'status': 'RUN'}, 'CB4': {'status': None}}}
16:22:08.617; 162; LineStatus/Data; {'Line1': {'self': {'state': 'CB4_TO_CB5', 'product_at': 'CB4'}, 'GR2': {'status': 'INIT'}, 'CB3': {'status': 'RUN'}, 'CB4': {'status': 'RUN'}}}
16:22:08.795; 163; LineStatus/Data; {'Line4': {'self': {'state': 'END', 'product_at': 'VG2'}, 'VG2': {'status': 'END'}}}
16:22:08.815; 164; FactoryStatus/Data; Stopped line: Line4
16:22:09.929; 165; MachineStatus/Data; {'CB3': ['FREE', 'None']}
16:22:09.934; 166; LineStatus/Data; {'Line1': {'self': {'state': 'CB4_TO_CB5', 'product_at': 'CB4'}, 'GR2': {'status': 'INIT'}, 'CB4': {'status': 'RUN'}}}
16:22:13.027; 167; LineStatus/Data; {'Line3': {'self': {'state': 'GR1', 'product_at': None}, 'GR1': {'status': 'TO_DESTINATION'}}}
16:22:13.070; 168; MachineStatus/Data; {'CB5': ['RUNNING', 'Line1']}
16:22:13.084; 169; LineStatus/Data; {'Line1': {'self': {'state': 'CB5', 'product_at': 'CB4'}, 'GR2': {'status': 'INIT'}, 'CB4': {'status': 'RUN'}}}
16:22:13.097; 170; MachineStatus/Data; {'GR3': ['RUNNING', 'Line1']}
